root_cause_service,fault_type,fault_date,num_nodes,num_edges,num_anomalous_edges,weight_edges,weight_anomalous_edges,num_traces,num_anomalous_traces,num_unique_traces,num_unique_anomalous_traces,localizedat
ticketinfo,delay,1025,15,19,3,895,55,545,14,10,7,1
train,abort,1011,12,13,7,1279,207,569,45,5,2,1
train,abort,1015,12,13,7,869,162,376,35,5,2,1
train,cpu,1012,32,76,20,2191,277,859,50,47,32,1
train,cpu,1016,35,84,20,2165,231,914,38,49,29,1
train,delay,1010,30,59,16,1034,98,529,18,20,10,1
train,delay,1025,28,39,10,1771,126,1056,28,25,11,1
travel,abort,1011,7,8,5,362,77,297,46,5,3,1
travel,abort,1015,7,8,4,350,93,272,46,5,2,1
travel,cpu,1014,28,54,10,1213,94,672,38,20,9,1
travel,cpu,1016,31,68,13,2216,255,579,47,19,7,1
travel,delay,1010,28,52,11,974,95,493,37,17,8,1
travel,delay,1014,29,51,9,842,71,465,32,18,6,1
travel,delay,1025,30,58,13,1250,139,433,40,20,10,2
travel-plan,abort,1015,29,56,1,2777,56,1511,56,25,1,1
travel-plan,cpu,1012,32,68,2,2060,84,844,36,45,20,3
user,abort,1011,31,71,5,2273,26,1160,22,24,7,1
user,abort,1015,30,76,6,2203,28,684,22,17,3,1
user,abort,1023,30,70,6,3906,70,1488,60,43,21,2
user,cpu,1012,32,78,11,2466,138,1149,51,44,31,3
user,cpu,1016,32,79,5,2524,27,1332,27,34,9,1
user,delay,1010,32,71,6,2911,71,1261,42,32,9,1
user,delay,1014,30,72,8,2112,42,837,22,22,9,1
user,delay,1025,32,65,6,2336,43,994,37,28,10,-1
verification-code,abort,1011,19,31,5,1701,1327,1265,1251,13,4,1
verification-code,abort,1015,19,33,5,2176,739,719,702,6,4,1
verification-code,abort,1023,19,29,5,4720,2188,2170,2120,14,4,1
verification-code,cpu,1012,32,70,4,2071,241,1024,240,35,7,1
verification-code,cpu,1016,33,80,3,3026,217,1324,217,40,5,1
verification-code,delay,1010,18,29,5,1180,429,399,385,6,4,1
verification-code,delay,1014,18,30,4,868,201,187,179,5,3,1
verification-code,delay,1025,19,33,5,2357,267,284,257,11,4,1
