rootcause,faulttype,injectionver,pattern,score,in,out,localizedat
inside-payment,delay,1025,"inside-payment,cancel,notification,preserve,","40.91,3.34,2.25,1.11,","60,34,9,11,","0,22,0,0,",1
notification,abort,1015,"notification,preserve,","18.78,2.92,","26,15,","0,8,",1
notification,cpu,1012,"ticketinfo,notification,travel,preserve,","17.03,16.82,9.67,5.94,","29,29,0,0,","0,0,29,16,",2
notification,cpu,1016,"notification,cancel,preserve,","27.00,4.44,2.38,","27,0,0,","0,18,9,",1
notification,delay,1010,"notification,preserve,cancel,","12.44,3.70,0.32,","14,10,15,","0,0,14,",1
notification,delay,1014,"notification,inside-payment,preserve,cancel,","12.00,3.32,2.94,2.43,","21,16,12,35,","0,0,0,29,",1
notification,delay,1025,"preserve,notification,cancel,preserve-other,user,","11.70,5.00,2.53,0.93,0.27,","27,15,25,8,1,","1,0,15,1,0,",2
order,abort,1011,"order,travel,travel-plan,","16.67,3.00,0.50,","20,23,12,","0,20,11,",1
order,abort,1015,"order,travel,route-plan,travel-plan,","22.89,5.84,1.26,0.63,","29,35,23,24,","0,29,21,23,",1
order,abort,1023,"order,travel-plan,travel,route-plan,","14.24,4.24,3.88,0.29,","22,16,26,7,","0,7,22,8,",1
order,cpu,1012,"order,cancel,seat,travel,security,preserve,","69.93,1.11,1.02,0.85,0.38,0.35,","78,4,12,10,5,10,","0,11,16,15,8,7,",1
order,cpu,1016,"order,seat,travel,","82.98,0.82,0.51,","92,18,21,","0,21,23,",1
order,delay,1010,"order,","22.00,","22,","0,",1
order,delay,1014,"order,","30.03,","31,","0,",1
order,delay,1025,"order,seat,travel,preserve,","44.08,5.59,4.93,0.19,","51,12,21,11,","0,23,9,10,",1
order+train,cpu,1021,"order,train,seat,ticketinfo,travel,preserve,","19.12,5.49,4.10,2.56,1.57,0.59,","28,15,12,2,9,7,","0,0,0,9,15,4,",1
order-other,abort,1011,"order-other,security,route-plan,travel-plan,travel2,","41.09,0.36,0.27,0.27,0.13,","43,16,4,6,6,","0,15,6,4,5,",1
order-other,abort,1015,"order-other,preserve,travel2,route-plan,travel-plan,","66.69,1.32,0.20,0.20,0.20,","73,26,8,6,8,","0,22,6,8,6,",1
order-other,abort,1023,"order-other,preserve,security,","27.16,3.29,2.75,","39,23,15,","0,15,8,",1
order-other,cpu,1012,"order-other,inside-payment,ticketinfo,travel,order,admin-order,preserve,seat,","136.03,8.61,7.40,6.12,1.91,1.89,1.07,0.63,","201,51,42,0,10,34,0,4,","0,1,0,42,0,18,10,8,",1
order-other,cpu,1016,"order-other,admin-order,seat,order,","186.47,1.97,0.31,0.16,","203,29,6,2,","0,13,9,0,",1
order-other,delay,1010,"order-other,","91.04,","93,","0,",1
order-other,delay,1014,"order-other,","135.53,","144,","0,",1
order-other+assurance,cpu,1021,"order-other,assurance,","91.98,35.15,","165,102,","0,0,",1
payment,abort,1015,"payment,inside-payment,","26.36,4.00,","29,33,","0,29,",1
payment,cpu,1014,"ticketinfo,travel,","15.33,6.93,","23,0,","0,22,",-1
payment,cpu,1016,"payment,inside-payment,","12.00,4.00,","12,0,","0,12,",1
payment,delay,1010,"payment,","12.80,","16,","0,",1
payment,delay,1014,"payment,inside-payment,","9.97,7.10,","17,29,","0,17,",1
payment,delay,1025,"inside-payment,payment,","17.60,1.78,","32,8,","8,0,",2
preserve,abort,1011,"preserve,","30.00,","30,","0,",1
preserve,abort,1015,"preserve,","67.01,","68,","0,",1
preserve,cpu,1012,"preserve,security,","12.00,0.54,","12,0,","0,1,",1
preserve,cpu,1016,"preserve,","9.00,","12,","0,",1
preserve,delay,1025,"preserve,","26.69,","31,","0,",1
price,abort,1015,"price,basic,route-plan,travel,ticketinfo,","12.96,3.68,1.20,0.96,0.92,","18,22,15,22,21,","0,18,13,21,22,",1
price,abort,1024,"travel,ticketinfo,price,basic,travel-plan,route-plan,","14.93,10.63,6.53,5.80,3.73,1.47,","25,9,14,20,14,6,","9,20,0,14,6,10,",3
price,cpu,1014,"ticketinfo,travel,basic,price,preserve,station,","21.54,12.35,7.86,4.03,0.37,0.19,","28,0,0,11,0,1,","0,28,11,0,1,0,",4
price,cpu,1016,"price,basic,ticketinfo,","32.03,31.17,6.42,","33,0,7,","0,33,0,",1
price,delay,1014,"price,basic,preserve,train,ticketinfo,","4.00,0.94,0.88,0.81,0.69,","8,7,7,1,6,","0,8,5,0,7,",1
price,delay,1025,"price,ticketinfo,basic,","10.29,2.00,1.00,","12,9,11,","0,11,12,",1
price+admin-order,cpu,1021,"admin-order,price,basic,ticketinfo,preserve,","56.01,2.88,2.62,0.44,0.21,","71,16,0,3,0,","0,0,16,0,2,",1
route,abort,1024,"route,travel,travel-plan,route-plan,","6.50,5.54,2.31,0.27,","13,19,10,4,","0,13,4,5,",1
route,cpu,1014,"route,food,travel,seat,basic,preserve,","17.16,15.07,2.11,1.49,0.74,0.58,","31,33,27,8,11,9,","0,10,30,13,13,6,",1
route,cpu,1016,"route,travel,basic,food,ticketinfo,seat,","49.28,9.49,9.28,3.55,3.23,1.21,","53,43,0,27,8,18,","0,53,23,22,0,21,",1
route,delay,1014,"route,basic,seat,travel,ticketinfo,","11.08,2.54,1.69,1.00,0.85,","12,4,9,13,5,","0,7,7,12,4,",1
route-plan,abort,1011,"route-plan,","34.05,","35,","0,",1
route-plan,abort,1015,"route-plan,travel-plan,","16.10,16.00,","26,42,","0,26,",1
seat,abort,1011,"seat,travel-plan,route-plan,","27.07,0.90,0.60,","28,9,6,","0,6,8,",1
seat,abort,1015,"seat,travel,travel-plan,route-plan,","21.40,12.00,1.05,0.52,","29,41,22,20,","0,29,20,21,",1
seat,abort,1024,"ts-ui-dashboard,seat,travel-plan,travel,route-plan,","9.26,5.38,0.82,0.49,0.18,","19,14,8,15,4,","0,0,4,14,3,",2
seat,cpu,1014,"seat,travel,preserve,","12.27,2.46,0.23,","22,14,8,","0,19,7,",1
seat,cpu,1016,"seat,","18.14,","19,","0,",1
seat,delay,1010,"seat,train,","13.88,0.74,","19,1,","0,0,",1
seat,delay,1014,"seat,travel,preserve,","6.86,1.51,0.57,","8,11,4,","0,7,2,",1
seat,delay,1025,"travel,preserve,","4.71,0.36,","8,2,","0,0,",-1
security,abort,1023,"preserve,security,","22.80,6.00,","38,15,","14,0,",2
security,cpu,1012,,,,,-1
security,cpu,1016,"security,","2.50,","5,","0,",1
security,delay,1010,"preserve,security,","7.14,4.29,","15,6,","5,0,",2
security,delay,1014,"preserve,security,train,","9.39,4.57,0.37,","18,7,1,","6,0,0,",2
security,delay,1025,"preserve,security,travel,","31.54,7.59,0.36,","52,16,0,","15,0,1,",2
station,abort,1011,"station,travel,ticketinfo,basic,travel-plan,route-plan,","18.89,5.00,1.86,1.86,1.07,1.07,","23,28,23,25,10,7,","0,23,25,23,7,10,",1
station,abort,1015,"station,basic,route-plan,ticketinfo,travel,","34.00,5.00,2.24,1.88,1.00,","34,29,19,27,28,","0,34,15,29,27,",1
station,abort,1023,"travel,ticketinfo,station,basic,travel-plan,route-plan,","27.56,25.78,17.80,10.83,9.00,4.44,","46,15,31,44,27,9,","15,44,0,31,9,19,",3
station,cpu,1012,"station,order,food,basic,seat,travel,order-other,","13.36,2.12,1.52,0.61,0.55,0.55,0.42,","21,7,10,8,2,7,6,","0,2,5,10,4,8,4,",1
station,cpu,1016,"station,order-other,","68.60,4.08,","75,18,","0,29,",1
station,delay,1025,"station,travel,ticketinfo,travel-plan,","20.00,4.00,1.00,0.80,","20,15,19,4,","0,19,20,0,",1
station+basic,delay,1021,"station,travel-plan,travel,ticketinfo,ts-ui-dashboard,seat,train,","8.47,2.12,1.53,1.53,0.94,0.94,0.82,","12,6,8,10,4,2,2,","0,0,10,12,0,0,0,",-1
ticketinfo,abort,1011,"ticketinfo,admin-order,route-plan,","18.29,7.81,0.57,","32,22,16,","0,0,14,",1
ticketinfo,abort,1024,"ticketinfo,ts-ui-dashboard,travel,route-plan,travel-plan,","25.68,7.35,6.99,1.88,1.75,","43,23,32,14,20,","0,0,43,5,14,",1
ticketinfo,cpu,1014,"ticketinfo,seat,travel,preserve,","14.23,3.23,2.06,1.67,","21,5,14,9,","0,0,20,4,",1
ticketinfo,cpu,1016,"ticketinfo,seat,travel,preserve,","13.00,5.08,1.11,0.92,","13,0,10,4,","0,6,13,1,",1
ticketinfo,delay,1010,"ticketinfo,seat,travel,travel-plan,","19.00,3.16,3.00,0.47,","19,0,16,3,","0,4,19,0,",1
ticketinfo,delay,1025,"ticketinfo,travel,travel-plan,","10.21,0.86,0.29,","11,12,2,","0,11,0,",1
train,abort,1011,"train,basic,ticketinfo,travel,route-plan,travel-plan,","35.56,1.00,1.00,1.00,0.93,0.47,","40,41,42,41,20,21,","0,40,41,42,18,20,",1
train,abort,1015,"train,travel,travel-plan,basic,route-plan,ticketinfo,","24.03,2.91,2.40,2.00,1.14,0.97,","29,33,21,31,17,30,","0,30,17,29,19,31,",1
train,cpu,1012,"train,basic,preserve,travel,seat,ticketinfo,","33.62,7.84,5.52,3.16,1.80,0.84,","41,14,21,40,24,15,","0,22,9,35,26,14,",1
train,cpu,1016,"train,basic,travel,ticketinfo,preserve,seat,","34.11,20.84,3.82,3.79,2.68,1.84,","36,0,28,4,16,21,","0,22,34,0,10,23,",1
train,delay,1010,"train,ticketinfo,basic,travel,","14.22,2.67,2.67,0.87,","16,7,4,17,","0,4,7,15,",1
train,delay,1025,"train,seat,basic,ticketinfo,travel,preserve,","18.89,13.39,9.00,6.75,3.20,2.89,","23,9,11,4,27,9,","0,24,20,11,20,0,",1
train+order,delay,1021,"order,train,ticketinfo,seat,travel,travel-plan,travel2,route-plan,","5.44,5.44,2.00,1.00,1.00,0.22,0.11,0.11,","7,7,6,9,8,2,1,1,","0,0,4,8,9,1,0,0,",1
travel,abort,1011,"travel,travel-plan,route-plan,auth,","29.76,1.17,0.37,0.32,","37,18,15,5,","0,15,14,0,",1
travel,abort,1015,"travel,route-plan,travel-plan,","46.00,3.96,3.96,","46,19,26,","0,26,19,",1
travel,cpu,1014,"travel,food,seat,station,","13.95,11.07,0.79,0.27,","23,28,7,1,","5,13,10,0,",1
travel,cpu,1016,"travel,food,seat,","22.50,2.00,0.43,","42,25,19,","18,22,20,",1
travel,delay,1010,"travel,food,seat,order,preserve,","14.59,6.49,1.08,0.53,0.22,","23,23,6,3,4,","5,13,10,0,2,",1
travel,delay,1014,"travel,food,seat,order,","18.38,6.25,0.75,0.11,","24,25,2,2,","3,17,6,0,",1
travel,delay,1025,"food,travel,seat,notification,user,preserve,","9.77,8.10,3.38,0.57,0.19,0.12,","19,18,6,3,1,5,","2,0,15,0,0,4,",2
travel-plan,abort,1015,"travel-plan,","56.00,","56,","0,",1
travel-plan,cpu,1012,"ticketinfo,travel,travel-plan,","20.40,14.57,8.03,","27,0,17,","0,27,0,",3
user,abort,1011,"user,cancel,preserve,","18.18,4.41,0.45,","20,0,5,","0,16,3,",1
user,abort,1015,"user,cancel,preserve,","14.73,3.02,1.09,","18,0,8,","0,13,5,",1
user,abort,1023,"preserve,user,","16.80,13.07,","36,28,","8,0,",2
user,cpu,1012,"ticketinfo,travel,user,preserve,travel2,","20.69,9.51,9.06,2.76,1.06,","33,0,21,0,1,","0,26,0,8,7,",3
user,cpu,1016,"user,cancel,inside-payment,preserve,payment,","14.81,2.72,1.76,1.20,1.00,","20,0,0,0,6,","0,14,6,6,0,",1
user,delay,1010,"user,preserve,cancel,","20.02,2.67,1.50,","29,16,24,","0,9,19,",1
user,delay,1014,"user,ticketinfo,preserve,","16.41,0.38,0.36,","19,1,8,","0,0,7,",1
user,delay,1025,"preserve,cancel,","8.76,3.53,","18,15,","0,3,",-1
user+verification-code,cpu,1021,"verification-code,auth,","81.81,1.23,","94,0,","0,12,",-1
verification-code,abort,1011,"verification-code,","915.06,","1069,","0,",1
verification-code,abort,1015,"verification-code,","574.31,","634,","0,",1
verification-code,abort,1023,"verification-code,","1411.45,","1729,","0,",1
verification-code,cpu,1012,"verification-code,auth,","222.34,3.03,","231,0,","0,28,",1
verification-code,cpu,1016,"verification-code,","209.07,","213,","0,",1
verification-code,delay,1010,"verification-code,assurance,auth,","222.62,7.13,0.25,","292,52,46,","0,0,44,",1
verification-code,delay,1014,"verification-code,assurance,auth,","129.07,3.78,0.13,","152,26,23,","0,0,22,",1
verification-code,delay,1025,"verification-code,assurance,auth,ts-ui-dashboard,","109.82,5.37,2.98,2.86,","168,37,33,27,","0,0,10,0,",1
